,X,Y
256,20200913,768.6228054298642
257,20200914,757.9893212669683
258,20200915,751.6092307692307
259,20200916,748.9508597285068
260,20200917,752.6725791855204
261,20200918,761.179366515837
262,20200919,769.6861538461538
263,20200920,772.3445248868778
264,20200921,769.154479638009
265,20200922,765.9644343891403
266,20200923,759.5843438914027
267,20200924,749.4825339366516
268,20200925,738.8490497737556
269,20200926,736.1906787330316
270,20200927,744.6974660633484
271,20200928,759.0526696832578
272,20200929,772.3445248868778
273,20200930,782.9780090497737
274,20201001,790.4214479638008
275,20201002,797.3332126696832
276,20201003,800.523257918552
277,20201004,799.9915837104072
278,20201005,799.4599095022625
279,20201006,797.3332126696832
280,20201007,792.54814479638
281,20201008,786.1680542986426
282,20201009,781.9146606334841
283,20201010,782.9780090497737
284,20201011,786.6997285067873
285,20201012,789.3580995475113
286,20201013,788.8264253393666
287,20201014,784.5730316742081
288,20201015,780.3196380090498
289,20201016,776.5979185520362
290,20201017,772.8761990950227
291,20201018,769.154479638009
292,20201019,763.3060633484163
293,20201020,753.2042533936651
294,20201021,741.5074208144796
295,20201022,730.3422624434388
296,20201023,722.3671493212669
297,20201024,716.5187330316742
298,20201025,712.2653393665158
299,20201026,714.392036199095
300,20201027,726.6205429864253
301,20201028,738.3173755656109
302,20201029,739.9123981900452
303,20201030,722.3671493212669
304,20201031,701.1001809954751
305,20201101,687.8083257918552
